     2    0.12058E+04    0.52833E-01    0.34160E+01
     3    0.11238E+04    0.86628E-01    0.43139E+01
     4    0.10477E+04    0.97685E-01    0.44481E+01
     5    0.98898E+03    0.86908E-01    0.41253E+01
     6    0.94626E+03    0.64326E-01    0.36020E+01
     7    0.91671E+03    0.40891E-01    0.30191E+01
     8    0.89689E+03    0.23423E-01    0.24505E+01
     9    0.88437E+03    0.13524E-01    0.19596E+01
    10    0.87758E+03    0.93380E-02    0.15816E+01
    11    0.87498E+03    0.79960E-02    0.13235E+01
    12    0.87648E+03    0.74726E-02    0.11759E+01
    13    0.88020E+03    0.69491E-02    0.11161E+01
    14    0.88538E+03    0.62038E-02    0.11224E+01
    15    0.89229E+03    0.55199E-02    0.11722E+01
    16    0.90124E+03    0.52391E-02    0.12444E+01
    17    0.91193E+03    0.54883E-02    0.13227E+01
    18    0.92329E+03    0.61007E-02    0.13954E+01
    19    0.93639E+03    0.67990E-02    0.14593E+01
    20    0.94978E+03    0.73921E-02    0.15112E+01
    21    0.96359E+03    0.78757E-02    0.15541E+01
    22    0.97790E+03    0.83865E-02    0.15896E+01
    23    0.99248E+03    0.90978E-02    0.16212E+01
    24    0.10074E+04    0.10126E-01    0.16526E+01
    25    0.10227E+04    0.11496E-01    0.16868E+01
    26    0.10383E+04    0.13164E-01    0.17270E+01
    27    0.10543E+04    0.15068E-01    0.17716E+01
    28    0.10704E+04    0.17180E-01    0.18190E+01
    29    0.10869E+04    0.19496E-01    0.18670E+01
    30    0.11038E+04    0.22030E-01    0.19116E+01
    31    0.11208E+04    0.24785E-01    0.19492E+01
    32    0.11382E+04    0.27745E-01    0.19766E+01
    33    0.11559E+04    0.30879E-01    0.19908E+01
    34    0.11738E+04    0.34172E-01    0.19899E+01
    35    0.11921E+04    0.37626E-01    0.19744E+01
    36    0.12105E+04    0.41267E-01    0.19443E+01
    37    0.12291E+04    0.45136E-01    0.19012E+01
    38    0.12480E+04    0.49279E-01    0.18480E+01
    39    0.12673E+04    0.53695E-01    0.17860E+01
    40    0.12867E+04    0.58375E-01    0.17153E+01
    41    0.13063E+04    0.63321E-01    0.16361E+01
    42    0.13259E+04    0.68546E-01    0.15480E+01
